,district_id,city_id,region_id
129,,2368,12
130,,1647,9
131,,933,7
132,28225.0,1004,5
133,590.0,210,14
134,65.0,38,6
135,9769.0,184,2
136,726.0,26,7
137,41.0,26,7
138,66.0,38,6
139,4115.0,26,7
140,,4279,16
141,,11830,7
142,17418.0,181,13
143,,3851,6
144,1190.0,39,1
145,,50413,16
146,342.0,38,6
147,300426.0,26,7
148,,934,7
149,36.0,26,7
150,138.0,26,7
151,,197,7
152,,48453,9
153,,51890,7
154,229799.0,213,16
155,174.0,26,7
156,1196.0,1022,5
157,,3574,15
158,,2364,12
159,,2085,16
160,49.0,26,7
161,,2166,14
162,300504.0,38,6
163,,1180,1
164,,107,6
165,13195.0,1,15
166,,15397,7
167,,3233,6
168,,4533,1
169,2093.0,192,4
170,,1430,2
171,707.0,39,1
172,7207.0,213,16
173,3.0,39,1
174,9093.0,175,12
175,103.0,1,15
176,117.0,26,7
177,5227.0,2262,12
178,,123,1
179,,77,15
180,53.0,26,7
181,4715.0,39,1
182,,22877,15
183,,36589,3
184,,23227,5
185,42926.0,175,12
186,,2137,16
187,952.0,140,12
188,,2544,2
189,,38049,16
190,2.0,39,1
191,10345.0,809,7
192,,178,12
193,,67,15
194,,2067,16
195,113.0,1004,5
196,68.0,38,6
197,,13047,2
198,51.0,26,7
199,1269.0,165,12
200,,205,10
201,,193,4
202,,5148,1
203,,12731,16
204,,478,6
205,633.0,176,12
206,,49231,6
207,,7526,6
208,7273.0,186,2
209,300500.0,38,6
210,300430.0,26,7
211,,4019,7
212,2568.0,210,14
213,2339.0,190,3
214,,18611,15
215,253.0,204,10
216,3315.0,26,7
217,8291.0,26,7
218,2734.0,39,1
219,,6326,1
220,808.0,39,1
221,1997.0,181,13
222,621.0,190,3
223,47464.0,26,7
224,1491.0,190,3
225,,1735,14
226,,2083,16
227,2164.0,181,13
228,,7245,7
229,3216.0,193,4
230,7548.0,26,7
231,,434,2
232,418.0,38,6
233,995.0,134,12
234,69419.0,1,15
235,,206,11
236,,48298,14
237,270.0,38,6
238,,2088,16
239,,538,6
240,,2,15
241,,189,3
242,1078.0,134,12
243,2049.0,208,11
244,689.0,38,6
245,104.0,1,15
246,,961,7
247,,3138,1
248,7467.0,172,12
249,,1946,12
250,748.0,1004,5
251,47.0,26,7
252,300420.0,26,7
253,5633.0,26,7
254,50.0,26,7
255,159.0,213,16
256,1833.0,39,1
257,114.0,1004,5
258,,168,12
259,58.0,38,6
260,596.0,40,11
261,,1347,1
262,,2258,12
263,,7039,1
264,300458.0,1004,5
265,6138.0,39,1
266,,2278,12
267,,50685,5
268,,2096,16
269,5771.0,81,15
270,,6732,1
271,300546.0,172,12
272,,18051,7
273,40.0,26,7
274,,5806,16
275,,1368,16
276,433.0,186,2
277,1933.0,40,11
278,,725,7
279,,63854,12
280,,21981,14
281,,29936,14
282,51462.0,26,7
283,,59173,10
284,,13625,12
285,,11722,6
286,,10147,6
287,6168.0,210,14
288,,63580,14
289,,69,15
290,,5694,7
291,1730.0,213,16
292,,62049,1
293,3949.0,174,12
294,111.0,1004,5
295,,2273,12
296,5.0,39,1
297,,16293,11
298,,186,2
299,,37793,15
300,30.0,40,11
301,1231.0,192,4
302,,490,6
303,126.0,213,16
304,,4289,7
305,,793,7
306,,2335,12
307,,17852,1
308,,728,7
309,14639.0,1004,5
310,2839.0,39,1
311,,42505,1
312,,210,14
313,,13185,8
314,,1004,5
315,514.0,26,7
316,,1793,1
317,,11248,6
318,26622.0,39,1
319,,1755,16
320,74.0,1,15
321,,14676,7
322,,39470,11
323,,2218,14
324,,50400,11
325,1059.0,206,11
326,,840,7
327,1411.0,172,12
328,,78,15
329,,938,7
330,2217.0,176,12
331,,2037,11
332,,208,11
333,,42995,15
334,91.0,1,15
335,93.0,1,15
336,2751.0,190,3
337,,800,7
338,,4842,7
339,1897.0,182,1
340,,412,6
341,,5,15
342,226.0,201,9
343,64.0,38,6
344,,808,7
345,,26,7
346,7260.0,186,2
347,,50524,13
348,,2336,12
349,51598.0,1551,12
350,15542.0,39,1
351,90.0,1,15
352,,185,2
353,,2350,12
354,156.0,206,11
355,727.0,26,7
356,,91,1
357,118.0,2496,2
358,,177,12
359,4149.0,38,6
360,3933.0,201,9
361,,811,7
362,,1494,7
363,970.0,172,12
364,,31835,15
365,,4781,6
366,,43380,1
367,,16958,15
368,78.0,1,15
369,,2400,8
370,,7500,1
371,4595.0,178,12
372,336.0,38,6
373,,23728,2
374,,3732,15
375,,1955,11
376,14503.0,123,1
377,743.0,26,7
378,,53266,16
379,5541.0,186,2
380,300367.0,213,16
381,245.0,38,6
382,98.0,1,15
383,14659.0,39,1
384,46101.0,26,7
385,,190,3
386,,2242,12
387,,4439,1
388,,4715,15
389,5217.0,175,12
390,,207,11
391,1519.0,190,3
392,,5312,7
393,384.0,190,3
394,,1606,9
395,,1120,5
396,6146.0,201,9
397,234.0,206,11
398,,7253,2
399,,920,7
400,,1226,3
401,,3870,5
402,,452,6
403,,1644,9
404,,3830,6
405,,4925,9
406,,921,7
407,1318.0,167,12
408,,2000,11
409,,13356,16
410,,48389,6
411,11619.0,26,7
412,,1284,16
413,69.0,38,6
414,,68,15
415,,1235,1
416,244.0,206,11
417,,6822,16
418,382.0,184,2
419,2264.0,176,12
420,,3542,1
421,,23858,5
422,,4766,7
423,,1012,5
424,,14500,11
425,4698.0,178,12
426,,6835,7
427,1652.0,201,9
428,3497.0,184,2
429,170380.0,190,3
430,2280.0,39,1
431,,65912,14
432,2170.0,183,1
433,15753.0,38,6
434,300462.0,1004,5
435,1715.0,38,6
436,,7615,1
437,,39033,7
438,,14515,6
439,5413.0,26,7
440,1278.0,39,1
441,7887.0,187,2
442,,548,6
443,126939.0,38,6
444,300418.0,26,7
445,,162,1
446,7041.0,190,3
447,1047.0,38,6
448,,15289,6
449,,2582,4
450,,2938,10
451,,19010,7
452,1057.0,210,14
453,9225.0,166,12
454,,1,15
455,,1052,5
456,803.0,26,7
457,,237,15
458,959.0,206,11
459,6206.0,39,1
460,,1489,11
461,1722.0,206,11
462,7228.0,148,7
463,,33493,2
464,,23398,10
465,,128,15
466,,2349,12
467,,57889,10
468,1179.0,39,1
469,140.0,40,11
470,,773,7
471,,1557,6
472,80.0,1,15
473,,63094,6
474,1642.0,172,12
475,,1167,16
476,700.0,161,12
477,,18759,6
478,1996.0,172,12
479,7609.0,166,12
480,,18232,14
481,,175,12
482,300464.0,1004,5
483,,20701,7
484,2442.0,38,6
485,,401,15
486,,10939,7
487,5979.0,2,15
488,,4286,11
489,2612.0,1,15
490,,1705,1
491,,170,12
492,,2160,14
493,,66579,7
494,,1843,11
495,5557.0,176,12
496,,2089,16
497,,134,12
498,8.0,40,11
499,,2052,16
500,306.0,169,12
501,1549.0,178,12
502,,2424,8
503,,2079,16
504,129.0,38,6
505,2366.0,172,12
506,,2343,12
507,,9982,1
508,,1185,1
509,,209,14
510,,24572,1
511,,2243,12
512,146768.0,1,15
513,,3111,7
514,,5371,6
515,19.0,40,11
516,,6302,15
517,,6575,1
518,2495.0,1,15
519,15336.0,38,6
520,228.0,38,6
521,,836,7
522,,183,1
523,747.0,1004,5
524,6528.0,184,2
525,,1199,1
526,,44236,14
527,24503.0,627,13
528,98065.0,193,4
529,2082.0,181,13
530,,724,7
531,47309.0,176,12
532,1430.0,40,11
533,,9098,7
534,7365.0,26,7
535,300498.0,38,6
536,,20469,5
537,5761.0,178,12
538,,17350,15
539,,65761,15
540,3459.0,190,3
541,2298.0,140,12
542,,17643,16
543,55268.0,184,2
544,,2331,12
545,24153.0,39,1
546,54.0,38,6
547,,18385,5
548,,51770,11
549,,2478,2
550,,6226,16
551,183.0,26,7
552,121.0,40,11
553,799.0,933,7
554,7686.0,168,12
555,103138.0,38,6
556,11757.0,1004,5
557,61562.0,39,1
558,,2437,8
559,,64320,12
560,5874.0,39,1
561,60952.0,206,11
562,300644.0,40,11
563,854.0,190,3
564,,944,7
565,3528.0,2,15
566,,59906,5
567,,176,12
568,,2304,12
569,99089.0,26,7
570,3169.0,175,12
571,,995,5
572,,64790,5
573,,801,7
574,,62271,3
575,,52303,12
576,,12803,11
577,71.0,38,6
578,,2686,12
579,,2319,12
580,887.0,190,3
581,,57082,15
582,785.0,172,12
583,,2075,16
584,1393.0,1755,16
585,1019.0,204,10
586,,198,8
587,8063.0,186,2
588,,59766,1
589,,18078,1
590,,2497,2
591,,20749,6
592,,10744,16
593,,1452,9
594,1195.0,40,11
595,,13725,8
596,6636.0,26,7
597,,2354,12
598,,3858,16
599,,22425,11
600,,2512,2
601,12083.0,186,2
602,,932,7
603,75.0,1,15
604,1502.0,1004,5
605,1669.0,161,12
606,,2058,16
607,,7730,16
608,5373.0,1,15
609,,2642,4
610,4428.0,172,12
611,3217.0,179,12
612,,62659,7
613,5066.0,1551,12
614,,4283,11
615,9290.0,180,12
616,1300.0,198,8
617,,163,5
618,,16954,4
619,,20865,1
620,,56704,1
621,,165,12
622,,5786,3
623,1320.0,38,6
624,,19634,10
625,,9967,12
626,2603.0,26,7
627,57.0,38,6
628,,12845,7
629,,410,6
630,,1950,1
631,712.0,1004,5
632,,762,7
633,,8021,7
634,1226.0,213,16
635,,12040,1
636,1189.0,39,1
637,2820.0,39,1
638,,2010,11
639,1618.0,123,1
640,,2816,3
641,,727,7
642,,14943,2
643,8665.0,26,7
644,,809,7
645,,22803,10
646,13079.0,134,12
647,,55992,8
648,668.0,210,14
649,3285.0,5,15
650,217.0,184,2
651,11563.0,1843,11
652,10150.0,26,7
653,3664.0,40,11
654,300454.0,26,7
655,,470,6
656,56.0,38,6
657,79.0,9503,15
658,,7527,6
659,789.0,213,16
660,,2338,12
661,,2352,12
662,1501.0,38,6
663,,8573,15
664,,42556,11
665,,2042,11
666,,3270,11
667,,219,15
668,,2069,16
669,,10719,1
670,33890.0,26,7
671,874.0,183,1
672,,182,1
673,59444.0,39,1
674,262.0,184,2
675,,6694,6
676,,18083,7
677,,1554,9
678,,67880,10
679,840.0,161,12
680,,34053,11
681,,6553,15
682,61.0,38,6
683,300412.0,26,7
684,,28524,1
685,4516.0,172,12
686,,12130,1
687,,11305,16
688,156536.0,39,1
689,,2126,16
690,110.0,1004,5
691,,12093,7
692,,3555,15
693,5291.0,201,9
694,599.0,196,7
695,300452.0,26,7
696,15911.0,26,7
697,,21057,1
698,,935,7
699,,1212,1
700,,430,6
701,,2044,11
702,6888.0,210,14
703,18201.0,148,7
704,,807,7
705,,140,12
706,31054.0,185,2
707,83.0,1,15
708,45.0,26,7
709,96253.0,1551,12
710,,3237,9
711,,1140,1
712,191.0,38,6
713,,22467,15
714,8533.0,39,1
715,,6853,7
716,96693.0,178,12
717,,53461,2
718,265.0,213,16
719,1888.0,175,12
720,17617.0,26,7
721,66599.0,185,2
722,,42252,8
723,,10121,11
724,58670.0,181,13
725,847.0,26,7
726,,5497,4
727,,7517,1
728,,640,13
729,,36970,3
730,,172,12
731,13798.0,26,7
732,,21277,7
733,,3620,1
734,,3279,1
735,,16990,1
736,482.0,213,16
737,,187,2
738,,11,15
739,,5688,7
740,,42476,9
741,,4359,11
742,,223,15
743,2157.0,208,11
744,4625.0,840,7
745,,570,13
746,,46516,10
747,,1210,1
748,,6928,12
749,105.0,1,15
750,,63434,15
751,1871.0,81,15
752,69187.0,40,11
753,170.0,206,11
754,,52282,11
755,,14233,15
756,,58610,5
757,7575.0,134,12
758,,49249,2
759,480.0,213,16
760,1310.0,173,12
761,,1929,7
762,300602.0,40,11
763,10606.0,1551,12
764,4829.0,177,12
765,,22146,1
766,,916,7
767,1940.0,840,7
768,45543.0,627,13
769,975.0,206,11
770,1851.0,175,12
771,1526.0,177,12
772,,1888,11
773,341.0,38,6
774,24414.0,1004,5
775,549.0,213,16
776,3341.0,190,3
777,1645.0,206,11
778,3430.0,38,6
779,,627,13
780,,3702,1
781,,47397,10
782,4081.0,2037,11
783,,5335,6
784,,45159,7
785,,2552,2
786,,1785,12
787,11982.0,128,15
788,4341.0,175,12
789,,1923,12
790,136.0,40,11
791,1121.0,703,7
792,,2410,8
793,,45451,10
794,300566.0,184,2
795,,171,12
796,998.0,161,12
797,16021.0,134,12
798,,29750,14
799,10063.0,166,12
800,70.0,38,6
801,,217,16
802,2778.0,175,12
803,,15071,15
804,,2473,2
805,23170.0,291,15
806,,34116,4
807,96.0,1,15
808,,180,12
809,,2290,12
810,3196.0,204,10
811,,2257,12
812,,22139,11
813,892.0,800,7
814,97097.0,169,12
815,1362.0,213,16
816,,3392,2
817,,27724,16
818,1651.0,177,12
819,,40517,9
820,,2216,14
821,598.0,206,11
822,,7261,11
823,158.0,38,6
824,24849.0,1167,16
825,12435.0,316,15
826,,11804,12
827,108.0,1,15
828,,17888,11
829,,47003,1
830,21220.0,134,12
831,,179,12
832,9143.0,38,6
833,1132.0,184,2
834,300474.0,38,6
835,2199.0,184,2
836,73.0,1,15
837,20882.0,38,6
838,5397.0,193,4
839,,2339,12
840,233.0,40,11
841,,31249,14
842,201.0,206,11
843,,15455,6
844,,39159,1
845,,8900,1
846,,16750,12
847,,232,15
848,,27055,10
849,4096.0,204,10
850,1090.0,172,12
851,,81,15
852,,2081,16
853,2729.0,39,1
854,,97,6
855,,15544,6
856,1260.0,206,11
857,,1977,11
858,12131.0,178,12
859,51269.0,178,12
860,587.0,161,12
861,2621.0,213,16
862,5817.0,81,15
863,20591.0,185,2
864,61554.0,26,7
865,6980.0,201,9
866,,14939,16
867,,14818,6
868,984.0,184,2
869,,2508,2
870,,2030,11
871,,511,6
872,21803.0,181,13
873,,2179,14
874,,1206,1
875,9962.0,204,10
876,,1198,1
877,22533.0,201,9
878,,2333,12
879,,10802,16
880,348.0,40,11
881,971.0,213,16
882,14526.0,1347,1
883,,734,7
884,304.0,184,2
885,728.0,26,7
886,,2615,4
887,51579.0,26,7
888,,2484,2
889,,200,9
890,,2183,14
891,703.0,40,11
892,451.0,40,11
893,2763.0,175,12
894,,2599,4
895,10.0,40,11
896,148488.0,176,12
897,,22194,7
898,60.0,38,6
899,,51449,2
900,3356.0,316,15
901,5531.0,178,12
902,,5427,1
903,,1022,5
904,9245.0,165,12
905,3965.0,186,2
906,1429.0,40,11
907,6319.0,196,7
908,8248.0,26,7
909,1292.0,208,11
910,,8529,16
911,,10382,16
912,,51526,13
913,88.0,1,15
914,,224,15
915,,2093,16
916,,51539,1
917,,2329,12
918,,27106,6
919,1702.0,175,12
920,,2284,12
921,,71,15
922,,2303,12
923,742.0,26,7
924,2814.0,39,1
925,,509,6
926,1193.0,206,11
927,,1727,7
928,45087.0,204,10
929,,2287,12
930,1185.0,172,12
931,,63704,1
932,,22668,7
933,1144.0,206,11
934,,11584,7
935,,9520,15
936,44530.0,39,1
937,,50548,14
938,1337.0,26,7
939,,2844,3
940,,2018,11
941,6714.0,204,10
942,,3090,1
943,2837.0,140,12
944,2048.0,187,2
945,,60921,10
946,231.0,213,16
947,,66505,15
948,,82,15
949,9215.0,26,7
950,,4175,5
951,,28295,7
952,,20982,7
953,194.0,172,12
954,6453.0,1167,16
955,,188,3
956,50436.0,1004,5
957,,7227,7
958,52709.0,26,7
959,7283.0,158,6
960,,194,6
961,,902,7
962,,7331,7
963,5596.0,176,12
964,300446.0,26,7
965,27.0,40,11
966,10555.0,168,12
967,,158,6
968,58201.0,184,2
969,963.0,26,7
970,,204,10
971,,2457,2
972,5017.0,26,7
973,12736.0,1378,1
974,,2928,10
975,,1088,5
976,2840.0,39,1
977,,48413,6
978,,844,7
979,,20687,10
980,,9741,6
981,,161,12
982,,2269,12
983,,918,7
984,,492,6
985,8583.0,128,15
986,,5235,16
987,43732.0,176,12
988,,483,6
989,2079.0,26,7
990,25280.0,185,2
991,546.0,196,7
992,,73131,14
993,,1162,4
994,3932.0,174,12
995,,18790,9
996,53191.0,39,1
997,2750.0,140,12
998,300414.0,26,7
999,70184.0,26,7
1000,,1205,1
1001,,17884,16
1002,,763,7
1003,,21688,16
1004,300610.0,40,11
1005,,2543,2
1006,2074.0,181,13
1007,,984,5
1008,,52955,13
1009,4411.0,166,12
1010,,25461,14
1011,,2600,4
1012,,18965,1
1013,,2395,8
1014,,2326,12
1015,4543.0,39,1
1016,,85,1
1017,300528.0,172,12
1018,,4595,15
1019,1456.0,192,4
1020,3762.0,176,12
1021,,31061,15
1022,,15953,8
1023,729.0,184,2
1024,1023.0,2248,12
1025,155349.0,134,12
1026,,53108,14
1027,12927.0,316,15
1028,,90,1
1029,,2696,15
1030,1664.0,1252,12
1031,3570.0,26,7
1032,,149,7
1033,,8564,6
1034,81.0,1,15
1035,626.0,1004,5
1036,,49106,14
1037,,2250,12
1038,,16635,14
1039,,1262,8
1040,1746.0,204,10
1041,14994.0,176,12
1042,3525.0,184,2
1043,4075.0,183,1
1044,7599.0,186,2
1045,,13565,7
1046,,25935,10
1047,,66975,11
1048,,29495,5
1049,,2621,4
1050,142.0,26,7
1051,,1969,11
1052,14406.0,204,10
1053,,6287,1
1054,,2817,3
1055,2725.0,316,15
1056,20647.0,165,12
1057,,3316,11
1058,,3473,2
1059,,2495,2
1060,1426.0,134,12
1061,11143.0,26,7
1062,60506.0,26,7
1063,,30908,7
1064,300472.0,38,6
1065,35088.0,26,7
1066,,2315,12
1067,,2469,2
1068,,2004,11
1069,,55269,13
1070,58652.0,176,12
1071,,1378,1
1072,,5845,1
1073,1412.0,186,2
1074,,65825,6
1075,,790,7
1076,,1757,11
1077,,422,6
1078,37288.0,190,3
1079,86.0,1,15
1080,,1252,12
1081,,966,5
1082,,11788,6
1083,7304.0,178,12
1084,100.0,1,15
1085,,1792,11
1086,2239.0,184,2
1087,,2017,11
1088,,39108,2
1089,3595.0,178,12
1090,1993.0,920,7
1091,,3086,7
1092,832.0,183,1
1093,,155,10
1094,,184,2
1095,,2119,16
1096,9984.0,1,15
1097,1101.0,168,12
1098,,12119,1
1099,6083.0,40,11
1100,465.0,26,7
1101,724.0,26,7
1102,,705,7
1103,4945.0,204,10
1104,3365.0,38,6
1105,,896,7
1106,8073.0,1755,16
1107,,2532,2
1108,16972.0,204,10
1109,,2939,10
1110,21481.0,166,12
1111,,5297,11
1112,1582.0,198,8
1113,16108.0,193,4
1114,,2201,14
1115,,61296,6
1116,,8179,14
1117,6028.0,186,2
1118,4040.0,166,12
1119,,3514,7
1120,,192,4
1121,,4248,7
1122,14653.0,1167,16
1123,,554,6
1124,,10739,12
1125,,751,7
1126,312.0,39,1
1127,,753,7
1128,,1337,9
1129,,710,7
1130,,28960,15
1131,300470.0,38,6
1132,13619.0,38,6
1133,,333,15
1134,,5994,7
1135,1418.0,201,9
1136,,839,7
1137,,515,6
1138,,5193,6
1139,423.0,179,12
1140,,436,6
1141,2211.0,40,11
1142,,10745,16
1143,,2935,10
1144,,1021,5
1145,1328.0,184,2
1146,,512,6
1147,,2087,16
1148,120197.0,172,12
1149,5421.0,204,10
1150,,4130,1
1151,,49330,6
1152,,841,7
1153,1324.0,184,2
1154,,17902,7
1155,,41916,11
1156,300618.0,187,2
1157,,3249,7
1158,,2932,10
1159,,23139,12
1160,,2027,11
1161,,55623,1
1162,,213,16
1163,,451,6
1164,,819,7
1165,,5600,7
1166,,9535,1
1167,,1473,15
1168,309.0,172,12
1169,4609.0,166,12
1170,1600.0,39,1
1171,,2362,12
1172,,52399,4
1173,,1926,7
1174,,843,7
1175,,2949,10
1176,64508.0,1022,5
1177,,3828,1
1178,,19562,6
1179,15333.0,569,6
1180,84.0,1,15
1181,,41936,13
1182,,4411,1
1183,,513,6
1184,1201.0,161,12
1185,48621.0,38,6
1186,,89,1
1187,,8863,15
1188,,39045,1
1189,,12426,11
1190,,11307,1
1191,,9059,7
1192,,47718,3
1193,,1187,1
1194,4465.0,39,1
1195,,49803,8
1196,,16063,14
1197,394.0,179,12
1198,378.0,183,1
1199,104024.0,204,10
1200,,2673,1
1201,817.0,40,11
1202,,8212,6
1203,,3031,12
1204,,8847,9
1205,300365.0,213,16
1206,,2053,16
1207,,21836,7
1208,235853.0,178,12
1209,1726.0,26,7
1210,,80,15
1211,,3576,1
1212,,30383,4
1213,,22010,10
1214,,221,15
1215,4152.0,38,6
1216,537.0,160,1
1217,,52782,5
1218,,1651,9
1219,,3726,15
1220,,2209,14
1221,787.0,206,11
1222,,17351,15
1223,,1121,5
1224,,18491,11
1225,3820.0,186,2
1226,,14379,1
1227,,6438,6
1228,,44293,16
1229,992.0,38,6
1230,,54812,6
1231,656.0,165,12
1232,,2031,11
1233,,11771,6
1234,,100,6
1235,746.0,1004,5
1236,,659,13
1237,,7483,1
1238,,54260,12
1239,,3377,15
1240,,676,7
1241,730.0,26,7
1242,,3526,1
1243,,4468,7
1244,1223.0,192,4
1245,,43275,2
1246,2371.0,811,7
1247,,51109,6
1248,3509.0,206,11
1249,,62326,8
1250,,30475,5
1251,1106.0,204,10
1252,,1975,11
1253,1116.0,172,12
1254,,14851,12
1255,,804,7
1256,757.0,1793,1
1257,,4482,11
1258,569.0,175,12
1259,,473,6
1260,,14493,6
1261,300482.0,38,6
1262,,17735,16
1263,,756,7
1264,,60475,9
1265,,18010,7
1266,,2306,12
1267,,891,7
1268,,2956,10
1269,718.0,1004,5
1270,,2003,11
1271,4474.0,172,12
1272,28978.0,182,1
1273,,27984,13
1274,,3309,15
1275,980.0,186,2
1276,3634.0,39,1
1277,,5561,7
1278,,2318,12
1279,,29264,6
1280,1209.0,172,12
1281,,1139,15
1282,,1341,15
1283,,3296,15
1284,,1176,1
1285,300614.0,40,11
1286,63538.0,28032,2
1287,,8292,11
1288,,29753,7
1289,,2953,10
1290,1006.0,2248,12
1291,7469.0,170,12
1292,,943,7
1293,,14886,9
1294,,2262,12
1295,,64397,4
1296,,9537,10
1297,,17900,7
1298,1428.0,134,12
1299,,2324,12
1300,,59132,3
1301,,10113,11
1302,,2926,10
1303,9214.0,178,12
1304,,39874,16
1305,,2588,4
1306,,865,7
1307,,6238,11
1308,,2108,16
1309,8697.0,213,16
1310,135.0,206,11
1311,,810,7
1312,1347.0,206,11
1313,26943.0,5,15
1314,,21442,15
1315,,30195,7
1316,,2255,12
1317,,2443,8
1318,,21339,7
1319,236.0,206,11
1320,,10511,12
1321,,10714,1
1322,,1826,1
1323,,38805,15
1324,3422.0,204,10
1325,,54014,15
1326,,12519,12
1327,1336.0,39,1
1328,,8014,11
1329,,4149,5
1330,,57065,5
1331,629.0,1004,5
1332,,3884,15
1333,1061.0,169,12
1334,,10838,9
1335,1755.0,39,1
1336,,1933,16
1337,50426.0,64476,15
1338,1215.0,184,2
1339,,27925,11
1340,,3459,11
1341,4658.0,169,12
1342,920.0,168,12
1343,,22020,10
1344,,306,15
1345,,10368,9
1346,,8663,11
1347,,33967,4
1348,3882.0,140,12
1349,,12028,6
1350,3256.0,185,2
1351,,24802,12
1352,,11657,14
1353,315.0,201,9
1354,,38447,7
1355,,45628,3
1356,,54267,13
1357,,5887,12
1358,11189.0,172,12
1359,,1439,15
1360,,20184,15
1361,24.0,40,11
1362,,53550,2
1363,60775.0,26,7
1364,17996.0,178,12
1365,,5555,11
1366,,4210,15
1367,5004.0,181,13
1368,9722.0,190,3
1369,,15438,2
1370,,11536,15
1371,,6215,7
1372,,3441,1
1373,,4460,1
1374,,174,12
1375,2423.0,1022,5
1376,,4946,11
1377,6049.0,190,3
1378,,65405,15
1379,4935.0,5,15
1380,,2670,7
1381,,334,15
1382,,67251,4
1383,,7475,2
1384,870.0,213,16
1385,9455.0,184,2
1386,,37625,12
1387,,37519,7
1388,,15673,12
1389,,2068,16
1390,,1479,1
1391,20756.0,196,7
1392,10592.0,181,13
1393,4995.0,190,3
1394,4360.0,176,12
1395,,2351,12
1396,,3777,2
1397,,8238,14
1398,,38468,14
1399,,44659,10
1400,,2937,10
1401,,2434,8
1402,,64733,14
1403,,1558,9
1404,,3874,1
1405,10626.0,170,12
1406,,2977,10
1407,,7320,7
1408,,43914,6
1409,930.0,161,12
1410,,1118,5
1411,,785,7
1412,,3221,15
1413,,3133,15
1414,,32493,12
1415,,783,7
1416,12771.0,190,3
1417,,2185,14
1418,,2252,12
1419,512.0,169,12
1420,461.0,193,4
1421,1063.0,213,16
1422,137718.0,26,7
1423,,777,7
1424,3569.0,210,14
1425,,18767,4
1426,,2517,2
1427,,1264,3
1428,7921.0,38,6
1429,,12518,8
1430,,4150,2
1431,,2420,8
1432,,52043,2
1433,,3983,16
1434,14938.0,39,1
1435,1252.0,192,4
1436,11194.0,172,12
1437,7197.0,176,12
1438,,45552,11
1439,,7712,1
1440,6861.0,192,4
1441,,105,6
1442,2597.0,134,12
1443,15619.0,1551,12
1444,,291,15
1445,,59349,6
1446,,38328,2
1447,1827.0,192,4
1448,1302.0,39,1
1449,,5848,1
1450,241.0,206,11
1451,,40834,1
1452,,16174,14
1453,1191.0,26,7
1454,,64444,11
1455,,15306,7
1456,2283.0,177,12
1457,,57910,15
1458,,10050,1
1459,1606.0,198,8
1460,,9449,11
1461,,1056,5
1462,,45524,3
1463,,73,15
1464,,2080,16
1465,,1433,4
1466,9201.0,26,7
1467,,2519,2
1468,11736.0,40,11
1469,133.0,182,1
1470,106.0,1,15
1471,29601.0,170,12
1472,,13714,11
1473,,7710,10
1474,,2171,14
1475,,46959,3
1476,8246.0,26,7
1477,,374,15
1478,,65829,15
1479,,11452,1
1480,,3174,7
1481,,61172,14
1482,,173,12
1483,,2623,4
1484,7.0,40,11
1485,,23817,3
1486,62283.0,1,15
1487,51652.0,174,12
